name,tags,description,capacity,location,requires_approval
# ============================================================
# HEADQUARTERS - MAIN BUILDING
# ============================================================
# Floor 1 - Reception & Common Areas
Reception Desk,"reception,front,customer,public","Main entrance reception and visitor check-in",2,"HQ/Floor 1/Lobby",false
Visitor Lounge,"lounge,waiting,public","Comfortable seating area for visitors",12,"HQ/Floor 1/Lobby",false
Cafeteria Main,"dining,cafeteria,food","Main employee cafeteria with full kitchen",80,"HQ/Floor 1/Cafeteria",false
Coffee Station 1,"coffee,break,beverage","Self-service coffee and refreshments",4,"HQ/Floor 1/Break Area",false
# Floor 2 - Meeting Rooms & Collaboration
Conference Room Alpha,"meeting,large,video,executive","Large boardroom with 4K display and video conferencing",20,"HQ/Floor 2/East Wing",true
Conference Room Beta,"meeting,medium,video","Medium meeting room with video conferencing",12,"HQ/Floor 2/East Wing",false
Conference Room Gamma,"meeting,small,whiteboard","Small meeting room with whiteboard",6,"HQ/Floor 2/West Wing",false
Huddle Space 2A,"huddle,quick,informal","Quick meeting space for 2-4 people",4,"HQ/Floor 2/Open Area",false
Huddle Space 2B,"huddle,quick,informal","Quick meeting space for 2-4 people",4,"HQ/Floor 2/Open Area",false
Phone Booth 201,"private,call,focus","Soundproof booth for calls or focus work",1,"HQ/Floor 2/Corridor",false
Phone Booth 202,"private,call,focus","Soundproof booth for calls or focus work",1,"HQ/Floor 2/Corridor",false
Phone Booth 203,"private,call,focus","Soundproof booth for calls or focus work",1,"HQ/Floor 2/Corridor",false
Collaboration Zone,"collaboration,whiteboard,creative","Open collaboration area with writable walls",15,"HQ/Floor 2/Center",false
# Floor 3 - Executive & Board
Executive Boardroom,"executive,boardroom,premium,video","Premium boardroom for board meetings and VIP clients",24,"HQ/Floor 3/Executive Suite",true
Executive Suite A,"executive,private,office","Private executive meeting room",6,"HQ/Floor 3/Executive Suite",true
Executive Suite B,"executive,private,office","Private executive meeting room",6,"HQ/Floor 3/Executive Suite",true
CEO Office,"executive,ceo,private","CEO's office for meetings",4,"HQ/Floor 3/Executive Suite",true
# Floor 4 - Training & Events
Training Room Large,"training,workshop,projector,large","Large training room with projector and podium",40,"HQ/Floor 4/Training Center",true
Training Room Medium,"training,workshop,projector","Medium training room for workshops",20,"HQ/Floor 4/Training Center",false
Computer Lab,"training,computer,lab,software","Computer training lab with 20 workstations",20,"HQ/Floor 4/Training Center",false
Event Hall,"event,large,stage,av","Large event hall with stage and AV equipment",150,"HQ/Floor 4/Event Center",true
# Floor 5 - Technical & Innovation
Innovation Lab,"innovation,prototyping,maker","Innovation space with prototyping equipment",10,"HQ/Floor 5/Labs",true
3D Printing Lab,"3dprinting,prototyping,equipment","3D printing and rapid prototyping facility",6,"HQ/Floor 5/Labs",true
